точка	опорная догадка	дистанция луча	ракурсов	база	дистанция ближнего	вердикт
След срыва (калибровочный, известный)	39.48126, 73.59310, 5088	65	25	700	65	можно триангулировать
Скальный крюк	39.48137, 73.59307, 5084	53	24	700	53	можно триангулировать
«Тело головой вниз» — наледь	39.48121, 73.59309, 5091	70	24	700	70	можно триангулировать
Прямоугольное пятно — маленький лёд	39.48129, 73.59307, 5087	61	24	700	61	можно триангулировать
Объект с жёлтым включением у бергшрунда	39.48044, 73.59249, 5142	27	23	829	28	можно триангулировать
Верёвки у LOOK: одна или две? (толстая + тонкая)	39.47944, 73.59239, 5200	97	21	953	27	можно триангулировать
Х-образный объект + борозда на выносе	39.47648, 73.59521, 5338	45	20	1112	345	можно триангулировать
Верёвки выше по стене	39.47929, 73.59261, 5220	70	19	952	43	можно триангулировать
Верёвки: «пещера», вокруг скалы, короткие	39.47934, 73.59243, 5212	231	19	953	30	можно триангулировать
Кулуар 124213: следы скольжения, «след рюкзака?», пещеры	39.47915, 73.59235, 5229	97	18	1001	60	можно триангулировать
«Дно рюкзака?» — снег необычно лежит на камне	39.47898, 73.59256, 5253	128	16	897	38	можно триангулировать
CC: тёмный объект 15–20 px на снегу	39.48213, 73.59294, 5060	74	15	685	39	можно триангулировать
Фестончатая дорожка по центру кулуара + «отрыв лавины»	39.47878, 73.59268, 5272	159	12	798	141	можно триангулировать
Синий объект — камень	39.47883, 73.59242, 5265	167	12	962	96	можно триангулировать
«Фигура у следов» и «след схода» — камни	39.47883, 73.59242, 5265	167	12	962	96	можно триангулировать
Две смежные лунки в снегу	39.48309, 73.59334, 5018	130	9	629	103	можно триангулировать
Г-образный тёмный предмет	39.47717, 73.59209, 5442	17	8	750	8	можно триангулировать
Белый стакан, красная маркировка	39.48293, 73.58565, 4550	69	6	1430	68	можно триангулировать
Дорожка отметин по линии падения	39.47681, 73.59207, 5477	7	6	779	7	можно триангулировать
Каплевидный объект на ровном снегу	39.48703, 73.59485, 4864	153	6	1505	154	можно триангулировать
CC: тёмная «линза» 12×5 px на снегу	39.49013, 73.59846, 4796	169	6	846	144	можно триангулировать
«Трепыхающаяся ткань» на гребне	39.47040, 73.58944, 5892	89	5	856	89	можно триангулировать
Тёмный угловатый объект, светлое включение	39.46999, 73.59073, 5963	965	5	855	227	можно триангулировать
Объект с бороздой у высоты вершины	39.46915, 73.59037, 6018	118	5	1073	118	можно триангулировать
Верёвка ниже + оранжевая точка	39.47956, 73.58857, 5000	874	5	958	444	можно триангулировать
«Турик?» — каменная пирамидка?	39.49144, 73.59978, 4797	264	5	817	213	можно триангулировать
«Камни?» (Гипотезы #919)	39.48903, 73.59607, 4774	318	5	1320	234	можно триангулировать
Обледеневший кусок с чётким краем на гребне?	39.47037, 73.58947, 5896	94	5	856	93	можно триангулировать
CC: тёмный объект 6 px с бороздой	39.47521, 73.59176, 5590	8	5	914	7	можно триангулировать
Объект, на который зумился дрон — камни	39.46884, 73.59023, 6045	86	4	1073	86	можно триангулировать
Пенка/каремат?	39.48295, 73.58597, 4568	76	3	1394	75	можно триангулировать
Полосы скольжения? + дорожка вмятин на снежнике выше рюкзака	39.48313, 73.58664, 4646	107	3	1391	76	можно триангулировать
Поле 4–6 предметов с бороздами	нет опоры	0	0	0	0	луч не встречает рельеф (взгляд выше горизонта) — нужен ручной подбор кадров
«Ткань?» — смятый охристо-бурый объект	нет опоры	0	0	0	0	луч не встречает рельеф (взгляд выше горизонта) — нужен ручной подбор кадров
Россыпь предметов, один сегментированный	нет опоры	0	0	0	0	луч не встречает рельеф (взгляд выше горизонта) — нужен ручной подбор кадров
Борозды без предметов	нет опоры	0	0	0	0	луч не встречает рельеф (взгляд выше горизонта) — нужен ручной подбор кадров
Цепочка вмятин с шагом 1–2 м	нет опоры	0	0	0	0	луч не встречает рельеф (взгляд выше горизонта) — нужен ручной подбор кадров
Воронка удара + предмет в снегу	нет опоры	0	0	0	0	луч не встречает рельеф (взгляд выше горизонта) — нужен ручной подбор кадров
Вторая цепочка вмятин	нет опоры	0	0	0	0	луч не встречает рельеф (взгляд выше горизонта) — нужен ручной подбор кадров
